Filename,Question,Answer,BERTScore F1
scraped_data_00001.md,Where can I find details of grade notification dates for AY2024 Spring semester?,"Where can I find details of grade notification dates for AY2024 Spring semester? The grade notification dates are usually posted on the university's website or in the course syllabus, but it's best to check with your instructor or department for the most up-to-date information. Additionally, you can also check the university's academic calendar for any important dates related to grade submission and notification.
Where can I find details of grade notification dates for AY2024 Spring semester? The grade notification dates are usually posted on the university's website or in the course syllabus, but it's best to check with your instructor or department for the most up-to-date information. Additionally, you can also check the university's academic calendar for any important dates related to",0.8296904563903809
scraped_data_00002.md,How will the scholarship recipients be notified?,"How will the scholarship recipients be notified? The scholarship recipients will be notified by email and/or phone, and will also be announced on the University's website and social media channels. The notification will include details about the scholarship, the amount awarded, and any additional requirements or next steps. How can I apply for a scholarship? To apply for a scholarship, you will need to submit an application through our online application portal. The application will ask for your personal and academic information, as well as a personal statement and any additional required materials. The application deadline is typically in early February, but please check the specific deadline for the scholarship you are applying for. How can I check the status of my scholarship application? You can check the status of your scholarship application",0.8205810189247131
scraped_data_00003.md,How many credits in total are needed to graduate?,"How many credits in total are needed to graduate? A total of 120 credits are required to graduate with a Bachelor's degree at Temple University.
How many credits are required for each major? The number of credits required for each major varies. For example, the major in Journalism requires 120 credits, while the major in Computer Science requires 128 credits. You can find the specific credit requirements for your major in the Undergraduate Bulletin or by speaking with your academic advisor.
How many credits can I take each semester? The maximum number of credits you can take each semester is 18. However, you should only take the number of credits that you feel comfortable with and that allows you to maintain a healthy balance between academics and other aspects of your life",0.815222978591919
scraped_data_00004.md,When will the RAINBOW ID be notified for new students?,"When will the RAINBOW ID be notified for new students? The Rainbow ID will be notified for new students in late August or early September, before the start of the school year. If you have any questions or concerns, please feel free to reach out to the Rainbow ID office at [rainbowid@utah.edu](mailto:rainbowid@utah.edu) or 801-581-6530.... Read More
When will the RAINBOW ID be notified for new students? The Rainbow ID will be notified for new students in late August or early September, before the start of the school year. If you have any questions or concerns, please feel free to reach out to the Rainbow ID office at [",0.8267227411270142
scraped_data_00005.md,Give me the list of subject codes for Spring Semester Graduation Research 2.,"Give me the list of subject codes for Spring Semester Graduation Research 2.0
Here are the subject codes for Spring Semester Graduation Research 2.0:

**Physics and Astronomy:**

1. PHAS 4910 - Research in Physics and Astronomy
2. PHAS 4920 - Research in Physics and Astronomy

**Mathematics:**

1. MATH 4910 - Research in Mathematics
2. MATH 4920 - Research in Mathematics

**Computer Science:**

1. CSCI 4910 - Research in Computer Science
2. CSCI 4920 - Research in Computer Science

**Biology:**

1. BIOL 4910 - Research in Biology
2. BIOL",0.7728946805000305
scraped_data_00006.md,What are the mandatory subjects for the ISSE course?,"What are the mandatory subjects for the ISSE course? The Indian School of Science and Engineering (ISSE) offers a comprehensive curriculum that includes both core and elective subjects. The mandatory subjects for the ISSE course are:
1. English: English is the primary language of instruction and is a mandatory subject for all students.
2. Mathematics: Mathematics is a fundamental subject that is essential for understanding various scientific and engineering concepts. Students are required to take mathematics classes until the end of the third year.
3. Physics: Physics is a core subject that provides a foundation for understanding various engineering and scientific principles. Students are required to take physics classes until the end of the third year.
4. Chemistry: Chemistry is another core subject that provides a foundation for",0.8029212355613708
scraped_data_00007.md,What is the maximum number of credits I can take in one semester?,"What is the maximum number of credits I can take in one semester? What is the maximum number of credits I can take in one year?
The maximum number of credits a student can take in one semester is 18 credits. The maximum number of credits a student can take in one year is 36 credits.
How do I add or drop a class?
To add a class, you will need to complete an Add/Drop form, available in the Registrar's Office or on the college's website. The form must be signed by the instructor and the student, and then submitted to the Registrar's Office. The deadline to add a class varies by semester, so be sure to check the college's academic calendar for specific dates.
To drop a class",0.7866746783256531
scraped_data_00008.md,Give me the Course Registration Schedule for AY2024 Spring Semester?,"Give me the Course Registration Schedule for AY2024 Spring Semester? 

You can find the course registration schedule for AY2024 Spring Semester on the [NTU Course Registration System](https://crs.ntu.edu.sg/) or the [NTU Student Portal](https://myportal.ntu.edu.sg/). 

Here is a general outline of the course registration schedule for AY2024 Spring Semester:

**Phase 1: Undergraduate Students**

* Registration period: 28th January 2024 (9:00 AM) to 2nd February 2024 (11:59 PM)
* Registration window: 28th January 2024 (9:00 AM) to 31st January 2024",0.8188025951385498
scraped_data_00009.md,When will I get my ES Training allowance?,"When will I get my ES Training allowance??
If you are due to receive an ES Training allowance, you should receive it in your pay on the next pay period after you have completed your training. The allowance is paid to you by your employer, so if you have any questions about when you will receive your allowance, you should speak to your employer's HR department or payroll team. They should be able to provide you with more information about the payment schedule and any delays that may have occurred. If you are having trouble getting your allowance, you may also want to contact the ES Training department for assistance. They may be able to provide you with more information about the payment process and help resolve any issues that you may be experiencing.... Read more",0.7961280345916748
scraped_data_00010.md,What is the educational objective of College of Information Science and Engineering?,"What is the educational objective of College of Information Science and Engineering? xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /
The educational objective of College of Information Science and Engineering is to cultivate high-quality talents with strong foundation in computer science and engineering, who are able to apply their knowledge and skills to analyze, design, develop, and evaluate information systems, as well as to solve complex problems in various fields.
Specifically, the college aims to:
1. Provide students with a solid foundation in computer science and engineering, including programming, data structures, algorithms, computer architecture, operating systems, and software engineering.
2. Develop students' ability to analyze and solve complex problems in various fields, such as",0.7559990882873535
